"code_chromato","num_yas","commentaire_chromato","gene","qualite_chromato","type_individu","code_ind_biomol","code_ind_tri_morpho","code_tube","num_ind_biomol","commentaire_ind","taxname","date_identification","precision_date","critere_identification","commentaire_esp_id"
"YCM816|AM4R1","YCM816","4b polym","AM4","OK","A","PnspDlajam|SPUZBOGI_201107_1ID","PROASELLUS_N_SP_DLAJAM|SPUZBOGI_201107[1]PspDS1","1","1ID","","PROASELLUS_N_SP_DLAJAM","2011-09-01","M","M",""
"YAD448|AM4F4","YAD448","3b polym","AM4","OK","A","PnspDlajam|SPUZBOGI_201107_2ID","PROASELLUS_N_SP_DLAJAM|SPUZBOGI_201107[2]PspDS2","2","2ID","","PROASELLUS_N_SP_DLAJAM","2011-09-01","M","M",""
"YAD015|AM4F2","YAD015","3b incertaines","AM4","OK","A","PspGabriele|GABRIELE_201407_1ID","PROASELLUS_N_SP_GABRIELE|GABRIELE_201407[A1]PspGa1","A1","1ID","","PROASELLUS_N_SP_GABRIELE","2014-12-01","M","M",""
"YCM806|AM4R1","YCM806","5b polym","AM4","OK","A","PnspKuruzovica|KURUZOVI_200611_1ID","PROASELLUS_N_SP_KURUZOVICA|KURUZOVI_200611[1]PspK1","1","1ID","","PROASELLUS_N_SP_KURUZOVICA","2011-03-01","M","M",""
"YCM892|AM4F4","YCM892"," 3b polym","AM4","OK","A","PnspKuruzovica|KURUZOVI_200611_1ID","PROASELLUS_N_SP_KURUZOVICA|KURUZOVI_200611[1]PspK1","1","1ID","","PROASELLUS_N_SP_KURUZOVICA","2011-03-01","M","M",""
"YCM164|AM4R1","YCM164","160b DBLES puis tb","AM4","OK","A","PnspLentegi|LENTIGI_201010_1ID","PROASELLUS_N_SP_LENTEGI|LENTIGI_201010[1]PspLe1","1","1ID","","PROASELLUS_N_SP_LENTEGI","2010-12-01","M","M",""
"YCM349|AM4R2","YCM349","tb","AM4","OK","A","PnspLentegi|LENTIGI_201010_1ID","PROASELLUS_N_SP_LENTEGI|LENTIGI_201010[1]PspLe1","1","1ID","","PROASELLUS_N_SP_LENTEGI","2010-12-01","M","M",""
"YAC789|AM4R2","YAC789","tb","AM4","OK","A","PnspMaglia|MAGLIA_200908_1ID","PROASELLUS_N_SP_MAGLIA|MAGLIA_200908[1]PspMB1","1","1ID","","PROASELLUS_N_SP_MAGLIA","2010-01-01","M","M",""
"YAD464|AM4R1","YAD464","bulle","AM4","OK","A","PnspMaglia|TORRACA_201409_1ID","PROASELLUS_N_SP_MAGLIA|TORRACA_201409[A1]PspTm1","A1","1ID","","PROASELLUS_N_SP_MAGLIA","2015-01-01","M","M",""
"YAD477|AM4R1","YAD477","bulle","AM4","OK","A","PnspMartinoAFF|MONFIEIS_201004_1ID","PROASELLUS_N_SP_MARTINO_AFF|MONFIEIS_201004[1]PspMf1","1","1ID","","PROASELLUS_N_SP_MARTINO_AFF","2011-03-01","M","M",""
"YAC796|AM4R1","YAC796","3b polym","AM4","OK","A","PnspMartino|CRISSOLO_200801_1ID","PROASELLUS_N_SP_MARTINO|CRISSOLO_200801[3]PspMa1","3","1ID","","PROASELLUS_N_SP_MARTINO","2008-01-01","M","M",""
"YCM795|AM4R1","YCM795","tb, 1b polym","AM4","OK","A","PnspMecina|MECINA_201010_1ID","PROASELLUS_N_SP_MECINA|MECINA_201010[1]PspMc1","1","1ID","","PROASELLUS_N_SP_MECINA","2010-12-01","M","M",""
"YAD451|AM4R6","YAD451","tb","AM4","OK","A","PnspMontelimar|ROUMONTE_201205_1ID","PROASELLUS_N_SP_MONTELIMAR|ROUMONTE_201205[A1]PspRm1","A1","1ID","","PROASELLUS_N_SP_MONTELIMAR","2015-03-01","M","M",""
"YAD440|AM4F2","YAD440","3b polym","AM4","OK","A","PnspMontelimar|ROUMONTE_201205_2","PROASELLUS_N_SP_MONTELIMAR|ROUMONTE_201205[A2]PspRm2","A2","2","","PROASELLUS_N_SP_MONTELIMAR","2015-03-01","M","M",""
"YAD017|AM4F2","YAD017","1b polym","AM4","OK","A","PnspPradielis|PRADIELI_201405_1ID","PROASELLUS_N_SP_PRADIELIS|PRADIELI_201405[A1]PspPr1","A1","1ID","","PROASELLUS_N_SP_PRADIELIS","2014-09-01","M","M",""
