"code_station","lat_deg_dec","long_deg_dec","code_lot_materiel","taxname_lot","date_identification_lot","code_ind_tri_morpho","taxname_ind","date_identification_ind","code_ind_biomol","code_sqc_ass","taxname_sqc","date_identification_sqc_ass","gene","nb_chromato_sqc_ass"
"CEZEBAGN","44.16414","4.63362","PROASELLUS_SP|CEZEBAGN_201605","PROASELLUS_SP","2016-06-01","PROASELLUS_SP|CEZEBAGN_201605[J1]PspZ1","PROASELLUS_SP","2016-06-01","Psp|CEZEBAGN_201605_1","Aaquaticus|CEZEBAGN_201605_1ex_YAF010|COILKF1_YAF018_COILKR1_exPsp","ASELLUS_AQUATICUS","2017-09-15","COI","2"
"CEZEBAGN","44.16414","4.63362","PROASELLUS_SP|CEZEBAGN_201605","PROASELLUS_SP","2016-06-01","PROASELLUS_SP|CEZEBAGN_201605[J2]PspZ2","PROASELLUS_SP","2016-06-01","Psp|CEZEBAGN_201605_2","Aaquaticus|CEZEBAGN_201605_2ex_YAE957|16SStenaF1_exPsp","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"CEZEBAGN","44.16414","4.63362","PROASELLUS_SP|CEZEBAGN_201605","PROASELLUS_SP","2016-06-01","PROASELLUS_SP|CEZEBAGN_201605[J2]PspZ2","PROASELLUS_SP","2016-06-01","Psp|CEZEBAGN_201605_2","Aaquaticus|CEZEBAGN_201605_2ex_YAF011|COILKF1_exPsp","ASELLUS_AQUATICUS","2017-09-15","COI","1"
"CEZEBAGN","44.16414","4.63362","PROASELLUS_SP|CEZEBAGN_201605","PROASELLUS_SP","2016-06-01","PROASELLUS_SP|CEZEBAGN_201605[J3]PspZ3","PROASELLUS_SP","2016-06-01","Psp|CEZEBAGN_201605_3","Aaquaticus|CEZEBAGN_201605_3ex_YAE980|16SStenaR1_exPsp","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"CRAPONNE","45.73796","4.732155","ASELLUS_SP|CRAPONNE_201605","ASELLUS_SP","2016-06-01","ASELLUS_SP|CRAPONNE_201605[B1]AaCn1","ASELLUS_SP","2016-06-01","Asp|CRAPONNE_201605_1","Aaquaticus|CRAPONNE_201605_1ex_YAE977|16SStenaR1_exAsp","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"CRAPONNE","45.73796","4.732155","ASELLUS_SP|CRAPONNE_201605","ASELLUS_SP","2016-06-01","ASELLUS_SP|CRAPONNE_201605[B1]AaCn1","ASELLUS_SP","2016-06-01","Asp|CRAPONNE_201605_1","Aaquaticus|CRAPONNE_201605_1ex_YAF012|COILKF1_YAF020_COILKR1_exAsp","ASELLUS_AQUATICUS","2017-09-15","COI","2"
"DILAKKOS","35.320002","25.667938","ASELLUS_AQUATICUS|DILAKKOS_201610","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|DILAKKOS_201610[A1]AADi1","ASELLUS_AQUATICUS","2016-12-01","Aaquaticus|DILAKKOS_201610_1ID","Aaquaticus|DILAKKOS_201610_1ID_YAF421|16SStenaF1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"DILAKKOS","35.320002","25.667938","ASELLUS_AQUATICUS|DILAKKOS_201610","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|DILAKKOS_201610[A1]AADi1","ASELLUS_AQUATICUS","2016-12-01","Aaquaticus|DILAKKOS_201610_1ID","Aaquaticus|DILAKKOS_201610_1ID_YAF577|COILKF1","ASELLUS_AQUATICUS","2017-09-15","COI","1"
"DOMMEDOR","44.811","1.219","ASELLUS_AQUATICUS|DOMMEDOR_201608","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|DOMMEDOR_201608[A1]AADm1","ASELLUS_AQUATICUS","2016-08-14","Aaquaticus|DOMMEDOR_201608_1ID","Aaquaticus|DOMMEDOR_201608_1ID_YAF423|16SStenaF1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"DOMMEDOR","44.811","1.219","ASELLUS_AQUATICUS|DOMMEDOR_201608","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|DOMMEDOR_201608[A1]AADm1","ASELLUS_AQUATICUS","2016-08-14","Aaquaticus|DOMMEDOR_201608_1ID","Aaquaticus|DOMMEDOR_201608_1ID_YAF579|COILKF1","ASELLUS_AQUATICUS","2017-09-15","COI","1"
