"code_station","lat_deg_dec","long_deg_dec","code_lot_materiel","taxname_lot","date_identification_lot","code_ind_tri_morpho","taxname_ind","date_identification_ind","code_ind_biomol","code_sqc_ass","taxname_sqc","date_identification_sqc_ass","gene","nb_chromato_sqc_ass"
"KILLARNE","52.057899","-9.511618","ASELLUS_AQUATICUS|KILLARNE_201204","ASELLUS_AQUATICUS","2015-03-01","ASELLUS_AQUATICUS|KILLARNE_201204[A1]AAKi1","ASELLUS_AQUATICUS","2015-03-01","Aaquaticus|KILLARNE_201204_1","Aaquaticus|KILLARNE_201204_1_YAE219|16SStenaF1_YAE456_16SStenaR1","ASELLUS_AQUATICUS","2017-09-15","16S","2"
"KILLARNE","52.057899","-9.511618","ASELLUS_AQUATICUS|KILLARNE_201204","ASELLUS_AQUATICUS","2015-03-01","ASELLUS_AQUATICUS|KILLARNE_201204[A1]AAKi1","ASELLUS_AQUATICUS","2015-03-01","Aaquaticus|KILLARNE_201204_1","Aaquaticus|KILLARNE_201204_1_YAF016|COILKF1_YAF024_COILKR1","ASELLUS_AQUATICUS","2017-09-15","COI","2"
"KRCAVA","48.35639","21.83444","ASELLUS_AQUATICUS|KRCAVA_201105","ASELLUS_AQUATICUS","2011-06-01","ASELLUS_AQUATICUS|KRCAVA_201105[A1]AAKr1","ASELLUS_AQUATICUS","2011-06-01","Aaquaticus|KRCAVA_201105_1","Aaquaticus|KRCAVA_201105_1_YAF570|16SStenaF1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"KRCAVA","48.35639","21.83444","ASELLUS_AQUATICUS|KRCAVA_201105","ASELLUS_AQUATICUS","2011-06-01","ASELLUS_AQUATICUS|KRCAVA_201105[A1]AAKr1","ASELLUS_AQUATICUS","2011-06-01","Aaquaticus|KRCAVA_201105_1","Aaquaticus|KRCAVA_201105_1_YAF017|COILKF1_YAF025_COILKR1","ASELLUS_AQUATICUS","2017-09-15","COI","2"
"PIVKACAV","45.819984","14.245817","ASELLUS_AQUATICUS|PIVKACAV_201504","ASELLUS_AQUATICUS","2015-07-01","ASELLUS_AQUATICUS|PIVKACAV_201504[A1]AAPk6","ASELLUS_AQUATICUS","2015-07-01","Aaquaticus|PIVKACAV_201504_6ID","Aaquaticus|PIVKACAV_201504_6ID_YAD831|16SStenaR1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"PIVKACAV","45.819984","14.245817","ASELLUS_AQUATICUS|PIVKACAV_201504","ASELLUS_AQUATICUS","2015-07-01","ASELLUS_AQUATICUS|PIVKACAV_201504[A1]AAPk6","ASELLUS_AQUATICUS","2015-07-01","Aaquaticus|PIVKACAV_201504_6ID","Aaquaticus|PIVKACAV_201504_6ID_YAD965|COILCO1490","ASELLUS_AQUATICUS","2017-09-15","COI","1"
"PIVKACAV","45.819984","14.245817","ASELLUS_AQUATICUS|PIVKACAV_201504","ASELLUS_AQUATICUS","2015-07-01","ASELLUS_AQUATICUS|PIVKACAV_201504[A2]AAPk7","ASELLUS_AQUATICUS","2015-07-01","Aaquaticus|PIVKACAV_201504_7ID","Aaquaticus|PIVKACAV_201504_7ID_YAD832|16SStenaR1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"PIVKACAV","45.819984","14.245817","ASELLUS_AQUATICUS|PIVKACAV_201504","ASELLUS_AQUATICUS","2015-07-01","ASELLUS_AQUATICUS|PIVKACAV_201504[A3]AAPk8","ASELLUS_AQUATICUS","2015-07-01","Aaquaticus|PIVKACAV_201504_8","Aaquaticus|PIVKACAV_201504_8_YAD849|16SStenaF1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"PIVKACAV","45.819984","14.245817","ASELLUS_AQUATICUS|PIVKACAV_201504","ASELLUS_AQUATICUS","2015-07-01","ASELLUS_AQUATICUS|PIVKACAV_201504[A3]AAPk8","ASELLUS_AQUATICUS","2015-07-01","Aaquaticus|PIVKACAV_201504_8","Aaquaticus|PIVKACAV_201504_8_YAE392|COIHCO2198","ASELLUS_AQUATICUS","2017-09-15","COI","1"
"PIVKACAV","45.819984","14.245817","ASELLUS_AQUATICUS|PIVKACAV_201504","ASELLUS_AQUATICUS","2015-07-01","ASELLUS_AQUATICUS|PIVKACAV_201504[CRYO]arnAAPk1","ASELLUS_AQUATICUS","2015-07-01","Aaquaticus|PIVKACAV_201504_1arn","Aaquaticus|PIVKACAV_201504_1arn_YAD712|16SStenaR1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"PIVKACAV","45.819984","14.245817","ASELLUS_AQUATICUS|PIVKACAV_201504","ASELLUS_AQUATICUS","2015-07-01","ASELLUS_AQUATICUS|PIVKACAV_201504[CRYO]arnAAPk2","ASELLUS_AQUATICUS","2015-07-01","Aaquaticus|PIVKACAV_201504_2arn","Aaquaticus|PIVKACAV_201504_2arn_YAD713|16SStenaR1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"PIVKACAV","45.819984","14.245817","ASELLUS_AQUATICUS|PIVKACAV_201504","ASELLUS_AQUATICUS","2015-07-01","ASELLUS_AQUATICUS|PIVKACAV_201504[CRYO]arnAAPk3","ASELLUS_AQUATICUS","2015-07-01","Aaquaticus|PIVKACAV_201504_3arn","Aaquaticus|PIVKACAV_201504_3arn_YAD714|16SStenaR1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"PIVKACAV","45.819984","14.245817","ASELLUS_AQUATICUS|PIVKACAV_201504","ASELLUS_AQUATICUS","2015-07-01","ASELLUS_AQUATICUS|PIVKACAV_201504[CRYO]arnAAPk4","ASELLUS_AQUATICUS","2015-07-01","Aaquaticus|PIVKACAV_201504_4arn","Aaquaticus|PIVKACAV_201504_4arn_YAD715|16SStenaR1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"PIVKACAV","45.819984","14.245817","ASELLUS_AQUATICUS|PIVKACAV_201504","ASELLUS_AQUATICUS","2015-07-01","ASELLUS_AQUATICUS|PIVKACAV_201504[CRYO]arnAAPk5","ASELLUS_AQUATICUS","2015-07-01","Aaquaticus|PIVKACAV_201504_5arn","Aaquaticus|PIVKACAV_201504_5arn_YAD716|16SStenaR1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"PLANINA","45.86805","14.24295","ASELLUS_AQUATICUS|PLANINA_201504","ASELLUS_AQUATICUS","2015-04-01","ASELLUS_AQUATICUS|PLANINA_201504[A1]AAPl6","ASELLUS_AQUATICUS","2015-07-03","Aaquaticus|PLANINA_201504_6ID","Aaquaticus|PLANINA_201504_6ID_YAD842|16SStenaF1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"PLANINA","45.86805","14.24295","ASELLUS_AQUATICUS|PLANINA_201504","ASELLUS_AQUATICUS","2015-04-01","ASELLUS_AQUATICUS|PLANINA_201504[A1]AAPl6","ASELLUS_AQUATICUS","2015-07-03","Aaquaticus|PLANINA_201504_6ID","Aaquaticus|PLANINA_201504_6ID_YAE196|AM4F2Aaq","ASELLUS_AQUATICUS","2017-09-15","AM4","1"
