"code_station","lat_deg_dec","long_deg_dec","code_lot_materiel","taxname_lot","date_identification_lot","code_ind_tri_morpho","taxname_ind","date_identification_ind","code_ind_biomol","code_sqc_ass","code_sqc_alignement","statut_sqc_ass","date_creation_sqc_ass","taxname_sqc","date_identification_sqc_ass"
"DORIESPD","35.286803","25.67744","ASELLUS_AQUATICUS|DORIESPD_201610","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|DORIESPD_201610[A1]AADo1","ASELLUS_AQUATICUS","2016-12-01","Aaquaticus|DORIESPD_201610_1ID","Aaquaticus|DORIESPD_201610_1ID_YAF425|16SStenaR1","Aaquaticus|DORIESPD_201610_1ID_YAF425|16SStenaR1","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"DORIESPD","35.286803","25.67744","ASELLUS_AQUATICUS|DORIESPD_201610","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|DORIESPD_201610[A1]AADo1","ASELLUS_AQUATICUS","2016-12-01","Aaquaticus|DORIESPD_201610_1ID","Aaquaticus|DORIESPD_201610_1ID_YAF616|COILKR1","Aaquaticus|DORIESPD_201610_1ID_YAF616|COILKR1","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"DRASIWEL","35.231166","25.601689","ASELLUS_AQUATICUS|DRASIWEL_201610","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|DRASIWEL_201610[A1]AADr1","ASELLUS_AQUATICUS","2016-12-01","Aaquaticus|DRASIWEL_201610_1ID","Aaquaticus|DRASIWEL_201610_1ID_YAF415|16SStenaR1","Aaquaticus|DRASIWEL_201610_1ID_YAF415|16SStenaR1","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"DRASIWEL","35.231166","25.601689","ASELLUS_AQUATICUS|DRASIWEL_201610","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|DRASIWEL_201610[A1]AADr1","ASELLUS_AQUATICUS","2016-12-01","Aaquaticus|DRASIWEL_201610_1ID","Aaquaticus|DRASIWEL_201610_1ID_YAF590|COILKF1_YAF693_COIHCO2198","Aaquaticus|DRASIWEL_201610_1ID_YAF590|COILKF1_YAF693_COIHCO2198","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201006","ASELLUS_AQUATICUS","2010-06-01","ASELLUS_AQUATICUS|ETGDOUA_201006[SIL]AaqDE1","ASELLUS_AQUATICUS","2010-07-01","Aaquaticus|ETGDOUA_201006_DE1","","","","","",""
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201006","ASELLUS_AQUATICUS","2010-06-01","ASELLUS_AQUATICUS|ETGDOUA_201006[SIL]AaqDE2","ASELLUS_AQUATICUS","2010-07-01","Aaquaticus|ETGDOUA_201006_DE2","","","","","",""
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201006","ASELLUS_AQUATICUS","2010-06-01","ASELLUS_AQUATICUS|ETGDOUA_201006[SIL]AaqDE3","ASELLUS_AQUATICUS","2010-07-01","Aaquaticus|ETGDOUA_201006_DE3","","","","","",""
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201006","ASELLUS_AQUATICUS","2010-06-01","ASELLUS_AQUATICUS|ETGDOUA_201006[SIL]Aaq_DE4","ASELLUS_AQUATICUS","2010-07-01","Aaquaticus|ETGDOUA_201006_DE4","","","","","",""
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201006","ASELLUS_AQUATICUS","2010-06-01","ASELLUS_AQUATICUS|ETGDOUA_201006[SIL]Aaq_DE5","ASELLUS_AQUATICUS","2010-07-01","Aaquaticus|ETGDOUA_201006_DE5","","","","","",""
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201006","ASELLUS_AQUATICUS","2010-06-01","ASELLUS_AQUATICUS|ETGDOUA_201006[SIL]Aaq_DE6","ASELLUS_AQUATICUS","2010-07-01","Aaquaticus|ETGDOUA_201006_DE6","","","","","",""
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201006","ASELLUS_AQUATICUS","2010-06-01","ASELLUS_AQUATICUS|ETGDOUA_201006[SIL]AaqTem1","ASELLUS_AQUATICUS","2010-07-01","Aaquaticus|ETGDOUA_201006_temDE1","","","","","",""
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201006","ASELLUS_AQUATICUS","2010-06-01","ASELLUS_AQUATICUS|ETGDOUA_201006[SIL]Aaq_TemDE2","ASELLUS_AQUATICUS","2010-07-01","Aaquaticus|ETGDOUA_201006_temDE2","","","","","",""
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201006","ASELLUS_AQUATICUS","2010-06-01","ASELLUS_AQUATICUS|ETGDOUA_201006[1","ASELLUS_AQUATICUS","2010-07-01","","","","","","",""
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201006","ASELLUS_AQUATICUS","2010-06-01","ASELLUS_AQUATICUS|ETGDOUA_201006[2","ASELLUS_AQUATICUS","2010-07-01","","","","","","",""
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201007","ASELLUS_AQUATICUS","2010-07-01","ASELLUS_AQUATICUS|ETGDOUA_201007[SIL]Aaq_DE7","ASELLUS_AQUATICUS","2010-07-01","Aaquaticus|ETGDOUA_201006_DE7","","","","","",""
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201007","ASELLUS_AQUATICUS","2010-07-01","ASELLUS_AQUATICUS|ETGDOUA_201007[SIL]Aaq_DE8","ASELLUS_AQUATICUS","2010-07-01","Aaquaticus|ETGDOUA_201006_DE8","","","","","",""
"ETGDOUA","45.779916","4.867144","ASELLUS_AQUATICUS|ETGDOUA_201007","ASELLUS_AQUATICUS","2010-07-01","ASELLUS_AQUATICUS|ETGDOUA_201007[SIL]Aaq_DE9","ASELLUS_AQUATICUS","2010-07-01","Aaquaticus|ETGDOUA_201006_DE9","","","","","",""
