"code_station","lat_deg_dec","long_deg_dec","code_sqc_ass_ext","code_sqc_ass_ext_alignement","statut_sqc_ass","date_creation_sqc_ass_ext","taxname_sqc","date_identification_sqc_ass","gene"
"VIRSNIC","45.907","14.703","Aaquaticus|VIRSNIC_000000_0_AY531780|NCBI","Aaquaticus|VIRSNIC_000000_0_AY531780|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"VIRSNIC","45.907","14.703","Aaquaticus|VIRSNIC_000000_0_AY531781|NCBI","Aaquaticus|VIRSNIC_000000_0_AY531781|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"VIRSNIC","45.907","14.703","Aaquaticus|VIRSNIC_000000_0_AY531782|NCBI","Aaquaticus|VIRSNIC_000000_0_AY531782|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"VIRSNIC","45.907","14.703","Aaquaticus|VIRSNIC_000000_0_DQ144743|NCBI","Aaquaticus|VIRSNIC_000000_0_DQ144743|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","28S"
"VRISSA","39.27","22.316","Aaquaticus|VRISSA_000000_0_DQ144880|NCBI","Aaquaticus|VRISSA_000000_0_DQ144880|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"VRISSA","39.27","22.316","Aaquaticus|VRISSA_000000_0_DQ144881|NCBI","Aaquaticus|VRISSA_000000_0_DQ144881|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"VRISSA","39.27","22.316","Aaquaticus|VRISSA_000000_0_DQ144882|NCBI","Aaquaticus|VRISSA_000000_0_DQ144882|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"VRISSA","39.27","22.316","Aaquaticus|VRISSA_000000_0_DQ144883|NCBI","Aaquaticus|VRISSA_000000_0_DQ144883|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"VZAVARIV","56.38679","21.52356","Aaquaticus|VZAVARIV_000000_0_KR921781|NCBI","Aaquaticus|VZAVARIV_000000_0_KR921781|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"VZAVARIV","56.38679","21.52356","Aaquaticus|VZAVARIV_000000_0_KR921782|NCBI","Aaquaticus|VZAVARIV_000000_0_KR921782|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"WAGENIN","51.968","5.663","Aaquaticus|WAGENIN_000000_0_DQ144748|NCBI","Aaquaticus|WAGENIN_000000_0_DQ144748|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","28S"
"WAGENIN","51.968","5.663","Aaquaticus|WAGENIN_000000_0_DQ144844|NCBI","Aaquaticus|WAGENIN_000000_0_DQ144844|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"WAGENIN","51.968","5.663","Aaquaticus|WAGENIN_000000_0_DQ144845|NCBI","Aaquaticus|WAGENIN_000000_0_DQ144845|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"WORTHER","46.61538","14.25279","Aaquaticus|WORTHER_000000_0_KR921754|NCBI","Aaquaticus|WORTHER_000000_0_KR921754|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"YADENITS","42.20387","23.99638","Aaquaticus|YADENITS_000000_0_KR921755|NCBI","Aaquaticus|YADENITS_000000_0_KR921755|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ZAANDAM","52.47258","4.78034","Aaquaticus|ZAANDAM_200000_0_AF532161|NCBI","Aaquaticus|ZAANDAM_200000_0_AF532161|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","16S"
"ZAWADYE","53.82279","22.33909","Aaquaticus|ZAWADYE_000000_0_KR921805|NCBI","Aaquaticus|ZAWADYE_000000_0_KR921805|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ZAWADYE","53.82279","22.33909","Aaquaticus|ZAWADYE_000000_0_KR921806|NCBI","Aaquaticus|ZAWADYE_000000_0_KR921806|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ZBILJE","46.157","14.425","Aaquaticus|ZBILJE_000000_0_AY531814|NCBI","Aaquaticus|ZBILJE_000000_0_AY531814|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ZBILJE","46.157","14.425","Aaquaticus|ZBILJE_000000_0_AY531815|NCBI","Aaquaticus|ZBILJE_000000_0_AY531815|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ZBILJE","46.157","14.425","Aaquaticus|ZBILJE_000000_0_AY531816|NCBI","Aaquaticus|ZBILJE_000000_0_AY531816|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ZBILJE","46.157","14.425","Aaquaticus|ZBILJE_000000_0_AY531817|NCBI","Aaquaticus|ZBILJE_000000_0_AY531817|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ZBILJE","46.157","14.425","Aaquaticus|ZBILJE_000000_0_AY531818|NCBI","Aaquaticus|ZBILJE_000000_0_AY531818|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ZBILJE","46.157","14.425","Aaquaticus|ZBILJE_000000_0_DQ144744|NCBI","Aaquaticus|ZBILJE_000000_0_DQ144744|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","28S"
"ZETARIV","42.659","18.996","Aaquaticus|ZETARIV_000000_0_DQ144746|NCBI","Aaquaticus|ZETARIV_000000_0_DQ144746|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","28S"
"ZETARIV","42.659","18.996","Aaquaticus|ZETARIV_000000_0_DQ144775|NCBI","Aaquaticus|ZETARIV_000000_0_DQ144775|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ZETARIV","42.659","18.996","Aaquaticus|ZETARIV_000000_0_DQ144776|NCBI","Aaquaticus|ZETARIV_000000_0_DQ144776|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ZIROVNI","46.05","14.127","Aaquaticus|ZIROVNI_000000_0_DQ144743|NCBI","Aaquaticus|ZIROVNI_000000_0_DQ144743|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","28S"
"ZIROVNI","46.05","14.127","Aaquaticus|ZIROVNI_000000_0_DQ144841|NCBI","Aaquaticus|ZIROVNI_000000_0_DQ144841|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ZIROVNI","46.05","14.127","Aaquaticus|ZIROVNI_000000_0_DQ144842|NCBI","Aaquaticus|ZIROVNI_000000_0_DQ144842|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ZOODHOS","36.3715","25.4748","Aaquaticus|ZOODHOS_000000_0_DQ144747|NCBI","Aaquaticus|ZOODHOS_000000_0_DQ144747|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","28S"
"ZOODHOS","36.3715","25.4748","Aaquaticus|ZOODHOS_000000_0_DQ144827|NCBI","Aaquaticus|ZOODHOS_000000_0_DQ144827|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ZOODHOS","36.3715","25.4748","Aaquaticus|ZOODHOS_000000_0_DQ144828|NCBI","Aaquaticus|ZOODHOS_000000_0_DQ144828|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ZOODHOS","36.3715","25.4748","Aaquaticus|ZOODHOS_000000_0_DQ144829|NCBI","Aaquaticus|ZOODHOS_000000_0_DQ144829|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ZOODHOS","36.3715","25.4748","Aaquaticus|ZOODHOS_000000_0_DQ144830|NCBI","Aaquaticus|ZOODHOS_000000_0_DQ144830|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
