"liste_gene_cible_par_individu","code_station","lat_deg_dec","long_deg_dec","code_lot_materiel","taxname_lot","code_ind_tri_morpho","code_ind_biomol","taxname_sqc_ass"
"28S;AM4;AM4;COI;16S;16S;COI","DEVANARG","43.32999","-4.56848","BRAGASELLUS_MEIJERSAE|DEVANARG_200906","BRAGASELLUS_MEIJERSAE","BRAGASELLUS_MEIJERSAE|DEVANARG_200906[I1.]BMD1","Bmeijersae|DEVANARG_200906_1","SYNASELLUS_BRAGAIANUS"
"16S;16S;COI;COI;AM4;AM4;28S;28S","DEVAPANE","43.31075","-4.6095","BRAGASELLUS_ROUCHI|DEVAPANE_200906","BRAGASELLUS_ROUCHI","BRAGASELLUS_ROUCHI|DEVAPANE_200906[1.]BRD1","Brouchi|DEVAPANE_200906_1ID","BRAGASELLUS_ROUCHI"
"28S;AM4;COI;16S","DJATO","42.83514","19.90699","PROASELLUS_KARAMANI|DJATO_201107","PROASELLUS_KARAMANI","PROASELLUS_KARAMANI|DJATO_201107[2]PKD2","Pkaramani|DJATO_201107_2ID","PROASELLUS_KARAMANI"
"COI;AM4;16S;28S","DJATO","42.83514","19.90699","PROASELLUS_KARAMANI|DJATO_201107","PROASELLUS_KARAMANI","PROASELLUS_KARAMANI|DJATO_201107[1]PKD1","Pkaramani|DJATO_201107_1ID","PROASELLUS_KARAMANI"
"28S;AM4;16S;COI;COI;COI","DOUVERA","46.31778","5.833889","PROASELLUS_VALDENSIS|DOUVERA_200908","PROASELLUS_VALDENSIS","PROASELLUS_VALDENSIS|DOUVERA_200908[1]PVPe1","Pvaldensis|DOUVERA_200908_1ID","PROASELLUS_VALDENSIS"
"28S;COI;16S;AM4","DOVJEZ","46.11553","14.47483","PROASELLUS_SP2|DOVJEZ_200910","PROASELLUS_SP2","PROASELLUS_SP2|DOVJEZ_200910[B1]PspL2","Psp2|DOVJEZ_200910_2","PROASELLUS_VULGARIS"
"16S;16S;28S;COI;AM4","DOVJEZ","46.11553","14.47483","PROASELLUS_VULGARIS|DOVJEZ_200910","PROASELLUS_VULGARIS","PROASELLUS_VULGARIS|DOVJEZ_200910[1]PVuL1","Pvulgaris|DOVJEZ_200910_1ID","PROASELLUS_VULGARIS"
"28S;16S;16S;AM4;COI","DOVJEZ","46.11553","14.47483","PROASELLUS_DEMINUTUS|DOVJEZ_200910","PROASELLUS_DEMINUTUS","PROASELLUS_DEMINUTUS|DOVJEZ_200910[1]PDL1","Pdeminutus|DOVJEZ_200910_1ID","PROASELLUS_DEMINUTUS"
"28S;COI;AM4;16S","DOVJEZ","46.11553","14.47483","PROASELLUS_SP|DOVJEZ_200910","PROASELLUS_SP","PROASELLUS_SP|DOVJEZ_200910[F]PspL4","Psp|DOVJEZ_200910_4","PROASELLUS_DEMINUTUS"
"28S;AM4;16S;16S;COI;COI","DROBEAUR","44.55286","5.52482","PROASELLUS_WALTERI|DROBEAUR_201204","PROASELLUS_WALTERI","PROASELLUS_WALTERI|DROBEAUR_201204[INCONNU]W0748","Pwalteri|DROBEAUR_201204_W0748","PROASELLUS_SYNASELLOIDES"
